Day,Session,Treatment,Subject,Round,SL,Bid,Frequency_Consumption,Size,Time,Quality_Safety,Attention,Typical_SL,Typical_SL_Other,Choose,Minimum_SL,Shopper,Vegan,Significant_Issue,Feeling,Wrong,Consideration,Help_Reduction,Social_Contributes,Promotion,Discard_After,Discard_On,Discard_Smell,Discard_Taste,LD_indication,LD_words,Gender,Age,Education,Income,Marietal_St,Child,Family_Size,Family_Size_Other
1,1,Control,4,3,1,1,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,4,3,1.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,5,-1,0,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,6,5,1.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,7,14,2.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,8,0,0.5,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,9,19,2.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,10,10,1.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,5,1,,1.5,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,2,7,1.5,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,3,1,0,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,4,3,0,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,5,-1,0,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,6,5,1,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,7,14,1.5,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,8,0,0,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,9,19,1.5,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,5,10,10,1.5,Once a week,Half gallon (64 fl oz),Within a week,Food quality,"Yes, always",Other (please specify):,seems to vary depending on the type of milk,"Yes, always",6,Yes,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Male,60,Master's degree,"$75,000-$99,999",Married,No,3,
1,1,Control,6,1,,1.5,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,2,7,1,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,3,1,0.99,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,4,3,0.99,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,5,-1,0.75,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,6,5,0.99,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,7,14,1.5,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,8,0,0.75,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,9,19,1.75,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,6,10,10,1,Once a week,1 gallon (128 fl oz),More than a week,Both,"Yes, always",10-14 days,,"Yes, always",10,No,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Male,54,Master's degree,Prefer not to say,Married,Yes,3,
1,1,Control,7,1,,5,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,2,7,1.75,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,3,1,3.5,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,4,3,3.5,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,5,-1,1,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,6,5,1,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,7,14,1,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,8,0,0,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,9,19,5,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,7,10,10,0,A few times a week,Half gallon (64 fl oz),3-5 days,Both,Sometimes,7-10 days,,Prefer not to say,4,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Male,34,Bachelor's degree in college (4-year),"Less than $25,000","Single (never married, no domestic/live-in partner)",No,2,
1,1,Control,9,1,,3.5,Two or three times a month,Half gallon (64 fl oz),More than a week,Both,Sometimes,Greater than 21 days,,Sometimes,6,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Female,57,Bachelor's degree in college (4-year),Prefer not to say,Married,No,2,
